Date,Expiry,Strike,Type,Symbol,Open,High,Low,Close,Volume,OI,Change in OI,Underlying Value
26-Feb-2026,30-Mar-2026,1760.0,PE,APLAPOLLO,0,0,0,0.95,0,700,0,2226.4
26-Feb-2026,30-Mar-2026,2000.0,PE,APLAPOLLO,3.8,4.4,3.1,3.65,4900,31850,0,2226.4
26-Feb-2026,30-Mar-2026,2080.0,PE,APLAPOLLO,8.3,10.6,7.8,8.5,7350,28350,3500,2226.4
26-Feb-2026,30-Mar-2026,8350.0,CE,APOLLOHOSP,0,0,0,8.3,0,0,0,7775.0
26-Feb-2026,30-Mar-2026,8450.0,CE,APOLLOHOSP,16.85,17.55,15.3,15.3,375,875,0,7775.0
26-Feb-2026,30-Mar-2026,8800.0,CE,APOLLOHOSP,2.5,6,2.5,6,1125,2000,375,7775.0
26-Feb-2026,30-Mar-2026,8400.0,CE,APOLLOHOSP,16.85,22.45,15.6,17.7,20875,17500,3500,7775.0
26-Feb-2026,30-Mar-2026,8250.0,CE,APOLLOHOSP,32,41.25,27.9,32.5,32125,22375,6750,7775.0
26-Feb-2026,30-Mar-2026,8500.0,CE,APOLLOHOSP,9.75,15,9.7,12.2,8125,19500,2625,7775.0
26-Feb-2026,30-Mar-2026,8300.0,CE,APOLLOHOSP,0,0,0,44.15,0,0,0,7775.0
26-Feb-2026,30-Mar-2026,8550.0,CE,APOLLOHOSP,12.5,12.5,8.6,8.6,750,3375,-250,7775.0
26-Feb-2026,30-Mar-2026,8600.0,CE,APOLLOHOSP,8.25,9.5,7.4,7.8,13875,28250,-375,7775.0
26-Feb-2026,30-Mar-2026,8900.0,CE,APOLLOHOSP,0,0,0,16.05,0,0,0,7775.0
26-Feb-2026,30-Mar-2026,8700.0,CE,APOLLOHOSP,9.45,9.45,4.95,5.45,6875,5125,-875,7775.0
26-Feb-2026,30-Mar-2026,8650.0,CE,APOLLOHOSP,6.3,6.35,6.3,6.35,375,4750,375,7775.0
26-Feb-2026,30-Mar-2026,8200.0,CE,APOLLOHOSP,0,0,0,53.85,0,0,0,7775.0
26-Feb-2026,30-Mar-2026,6200.0,PE,APOLLOHOSP,1.4,1.4,1.4,1.4,125,2750,0,7775.0
26-Feb-2026,30-Mar-2026,6450.0,PE,APOLLOHOSP,2.4,2.4,2.4,2.4,125,4625,0,7775.0
26-Feb-2026,30-Mar-2026,6500.0,PE,APOLLOHOSP,3,3,2.95,2.95,250,2250,125,7775.0
26-Feb-2026,30-Mar-2026,7050.0,PE,APOLLOHOSP,0,0,0,8.65,0,625,0,7775.0
26-Feb-2026,30-Mar-2026,6350.0,PE,APOLLOHOSP,0,0,0,21.45,0,125,0,7775.0
26-Feb-2026,30-Mar-2026,7350.0,PE,APOLLOHOSP,36.7,36.7,27.35,27.35,1750,1125,1125,7775.0
26-Feb-2026,30-Mar-2026,6400.0,PE,APOLLOHOSP,0,0,0,4,0,625,0,7775.0
26-Feb-2026,30-Mar-2026,7250.0,PE,APOLLOHOSP,16,20.8,16,17,1250,4500,-125,7775.0
26-Feb-2026,30-Mar-2026,6250.0,PE,APOLLOHOSP,0,0,0,35,0,250,0,7775.0
26-Feb-2026,30-Mar-2026,6800.0,PE,APOLLOHOSP,3,3.8,3,3.8,1000,2500,500,7775.0
26-Feb-2026,30-Mar-2026,6950.0,PE,APOLLOHOSP,0,0,0,12.55,0,125,0,7775.0
26-Feb-2026,30-Mar-2026,5900.0,PE,APOLLOHOSP,0,0,0,1.25,0,500,0,7775.0
26-Feb-2026,30-Mar-2026,6700.0,PE,APOLLOHOSP,2,3,2,3,3375,2000,-3000,7775.0
26-Feb-2026,30-Mar-2026,7200.0,PE,APOLLOHOSP,15.25,18.2,13.2,13.95,19500,22375,-2750,7775.0
26-Feb-2026,30-Mar-2026,7100.0,PE,APOLLOHOSP,0,0,0,21.5,0,375,0,7775.0
26-Feb-2026,30-Mar-2026,6550.0,PE,APOLLOHOSP,0,0,0,0.55,0,1625,0,7775.0
26-Feb-2026,30-Mar-2026,7300.0,PE,APOLLOHOSP,34.1,34.1,18.95,20.85,27000,21250,-3750,7775.0
26-Feb-2026,30-Mar-2026,6900.0,PE,APOLLOHOSP,0,0,0,4.2,0,125,0,7775.0
26-Feb-2026,30-Mar-2026,7000.0,PE,APOLLOHOSP,7.2,7.9,5.55,6,43000,70000,31250,7775.0
26-Feb-2026,30-Mar-2026,5700.0,PE,APOLLOHOSP,0,0,0,1.45,0,375,0,7775.0
